name	type	shape	n_elements	n_bytes
blk.13.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.13.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.13.post_attention_norm.weight	F32	5120	5120	20480
blk.13.ssm_a	F32	48	48	192
blk.13.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.13.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.13.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.13.ssm_dt.bias	F32	48	48	192
blk.13.ssm_norm.weight	F32	128	128	512
blk.13.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.14.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.14.attn_norm.weight	F32	5120	5120	20480
blk.14.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.14.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.14.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.14.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.14.post_attention_norm.weight	F32	5120	5120	20480
blk.14.ssm_a	F32	48	48	192
blk.14.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.14.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.14.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.14.ssm_dt.bias	F32	48	48	192
blk.14.ssm_norm.weight	F32	128	128	512
blk.14.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.15.attn_k.weight	Q8_0	5120,1024	5242880	5570560
blk.15.attn_k_norm.weight	F32	256	256	1024
blk.15.attn_norm.weight	F32	5120	5120	20480
blk.15.attn_output.weight	Q6_K	6144,5120	31457280	25804800
blk.15.attn_q.weight	Q8_0	5120,12288	62914560	66846720
blk.15.attn_q_norm.weight	F32	256	256	1024
blk.15.attn_v.weight	Q8_0	5120,1024	5242880	5570560
blk.15.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.15.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.15.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.15.post_attention_norm.weight	F32	5120	5120	20480
blk.16.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.16.attn_norm.weight	F32	5120	5120	20480
blk.16.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.16.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.16.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.16.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.16.post_attention_norm.weight	F32	5120	5120	20480
blk.16.ssm_a	F32	48	48	192
blk.16.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.16.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.16.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.16.ssm_dt.bias	F32	48	48	192
blk.16.ssm_norm.weight	F32	128	128	512
blk.16.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.17.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.17.attn_norm.weight	F32	5120	5120	20480
blk.17.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.17.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.17.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.17.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.17.post_attention_norm.weight	F32	5120	5120	20480
blk.17.ssm_a	F32	48	48	192
blk.17.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.17.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.17.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.17.ssm_dt.bias	F32	48	48	192
blk.17.ssm_norm.weight	F32	128	128	512
blk.17.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.18.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.18.attn_norm.weight	F32	5120	5120	20480
blk.18.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.18.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.18.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.18.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.18.post_attention_norm.weight	F32	5120	5120	20480
blk.18.ssm_a	F32	48	48	192
blk.18.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.18.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.18.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.18.ssm_dt.bias	F32	48	48	192
blk.18.ssm_norm.weight	F32	128	128	512
blk.18.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.19.attn_k.weight	Q8_0	5120,1024	5242880	5570560
blk.19.attn_k_norm.weight	F32	256	256	1024
blk.19.attn_norm.weight	F32	5120	5120	20480
blk.19.attn_output.weight	Q6_K	6144,5120	31457280	25804800
blk.19.attn_q.weight	Q8_0	5120,12288	62914560	66846720
blk.19.attn_q_norm.weight	F32	256	256	1024
blk.19.attn_v.weight	Q8_0	5120,1024	5242880	5570560
blk.19.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.19.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.19.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.19.post_attention_norm.weight	F32	5120	5120	20480
blk.20.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.20.attn_norm.weight	F32	5120	5120	20480
blk.20.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.20.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.20.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.20.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.20.post_attention_norm.weight	F32	5120	5120	20480
blk.20.ssm_a	F32	48	48	192
blk.20.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.20.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.20.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.20.ssm_dt.bias	F32	48	48	192
blk.20.ssm_norm.weight	F32	128	128	512
blk.20.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.21.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.21.attn_norm.weight	F32	5120	5120	20480
blk.21.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.21.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.21.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.21.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.21.post_attention_norm.weight	F32	5120	5120	20480
blk.21.ssm_a	F32	48	48	192
blk.21.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.21.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.21.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.21.ssm_dt.bias	F32	48	48	192
blk.21.ssm_norm.weight	F32	128	128	512
blk.21.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.22.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.22.attn_norm.weight	F32	5120	5120	20480
blk.22.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.22.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.22.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.22.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.22.post_attention_norm.weight	F32	5120	5120	20480
blk.22.ssm_a	F32	48	48	192
blk.22.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.22.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.22.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.22.ssm_dt.bias	F32	48	48	192
blk.22.ssm_norm.weight	F32	128	128	512
blk.22.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.23.attn_k.weight	Q8_0	5120,1024	5242880	5570560
blk.23.attn_k_norm.weight	F32	256	256	1024
blk.23.attn_norm.weight	F32	5120	5120	20480
blk.23.attn_output.weight	Q6_K	6144,5120	31457280	25804800
blk.23.attn_q.weight	Q8_0	5120,12288	62914560	66846720
blk.23.attn_q_norm.weight	F32	256	256	1024
blk.23.attn_v.weight	Q8_0	5120,1024	5242880	5570560
blk.23.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.23.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.23.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.23.post_attention_norm.weight	F32	5120	5120	20480
blk.24.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.24.attn_norm.weight	F32	5120	5120	20480
blk.24.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.24.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.24.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.24.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.24.post_attention_norm.weight	F32	5120	5120	20480
blk.24.ssm_a	F32	48	48	192
blk.24.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.24.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.24.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.24.ssm_dt.bias	F32	48	48	192
blk.24.ssm_norm.weight	F32	128	128	512
blk.24.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.25.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.25.attn_norm.weight	F32	5120	5120	20480
blk.25.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.25.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.25.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.25.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.25.post_attention_norm.weight	F32	5120	5120	20480
blk.25.ssm_a	F32	48	48	192
blk.25.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.25.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.25.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.25.ssm_dt.bias	F32	48	48	192
blk.25.ssm_norm.weight	F32	128	128	512
blk.25.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.26.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.26.attn_norm.weight	F32	5120	5120	20480
blk.26.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.26.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.26.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.26.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.26.post_attention_norm.weight	F32	5120	5120	20480
blk.26.ssm_a	F32	48	48	192
